#Powered_by_ParaTranz
DIPLOMACY_AI_ACCEPTANCE;?Y$COUNTRY$?W's response: ?Y$ODDS$?W
TOO_SOON_FOR_REFORM;We cannot enact another reform before ?Y$DATE$?W
SIEGE_EXTRA_ATTR;Resistance in occupied territories causes ?R+$VAL$%?W attrition
NO_SEPARATE_PEACE_CRISIS;We cannot make a separate peace in a crisis war
CRISIS_RESOLUTION_EFFECTS;Resolving the crisis this way will bring you $VAL$ prestige
CRISIS_RESOLUTION_RELATIONS;Relations with the following countries will change:
flintlock_rifle_armament;Flintlock Rifle Equipment
flintlock_rifle_armament_desc;The flintlock was invented in the early 17th century and quickly became a substitute for earlier ignition firearms such as the snaplock, matchlock, and wheel-lock. Over the following two centuries, the flintlock was widely used before being replaced by the percussion cap, and eventually by cartridge-based rifles in the mid-19th century. Despite being far inferior to modern firearms, flintlocks remain popular among black powder enthusiasts.
post_napoleonic_army_doctrine;Post-Napoleonic Military Doctrine
post_napoleonic_army_doctrine_desc;Both the French Revolution and the Napoleonic era pursued an innovative military doctrine. The influence of this period persisted even through the American Civil War and the early stages of World War I. Cheap and small weapons with hastily trained soldiers allowed armies to expand to unprecedented sizes, leading to the division of armies into divisions, and later into corps. Artillery divisions also emerged during this period.
muzzle_loaded_rifle_armament;Muzzle-Loaded Rifle Equipment
muzzle_loaded_rifle_armament_desc;Muzzle-loaded rifles are firearms that load projectiles and powder through the muzzle. Hand-held rifles were fully developed in the 1740s. The typical image of a muzzle-loaded rifle is the Kentucky rifle, although it was actually invented in Pennsylvania. The American long rifle evolved from the German hunting rifle.
breech_loaded_rifle_armament;Breech-Loaded Rifle Equipment
breech_loaded_rifle_armament_desc;Breech-loaded rifles are weapons with a space at the end of the barrel or bore for loading shells or bullets. Although breech-loaded weapons appeared as early as the 14th century, they did not become successful until the 19th century due to advances in precision engineering and mechanical engineering.
bolt_action_rifle_armament;Bolt-Action Rifle Equipment
bolt_action_rifle_armament_desc;Bolt-action refers to rifles that require manual operation to feed a cartridge into the chamber (loading) and to extract the spent case from the chamber (unloading). The first bolt-action rifle was created by Johann von der Luis in 1824 while developing breech-loaded weapons. Over the following half-century, bolt-action designs underwent continuous development in Europe and reached their peak during World War I: various bolt-action designs could be seen on the weapons of every army on the battlefield.
machine_gun_armament;Machine Gun Equipment
