cholera_epidemic_small;Cholera Outbreak
desc_cholera_epidemic_small;Cholera has broken out in this province and shows signs of further spreading.
cholera_epidemic_big;Cholera Epidemic
desc_cholera_epidemic_big;Cholera has broken out in this province and shows signs of further spreading.
local_opium_habit;Opium Problem
desc_local_opium_habit;The opium smoking problem among residents of this province has become increasingly severe.
desc_leagation_quarter;A diplomatic quarter housing foreign legations has been established in this province.
colonial_dry_spell;Drought Period
colonial_dry_spell_desc;This province has seen almost no rain this summer, and farmlands have suffered greatly.
colonial_exploitation;Colonial Exploitation
colonial_exploitation_desc;We are extracting all value from this colonial province.
REMOVE_enraged_soldiers;Enraged Soldiers
REMOVE_desc_enraged_soldiers;Enraged soldiers are rampaging through the colony.
REMOVE_unsatisfied_soldiers;Unsatisfied Soldiers
REMOVE_desc_unsatisfied_soldiers;The soldiers are deeply dissatisfied.
REMOVE_satisified_soldiers;Satisfied Soldiers
REMOVE_desc_satisified_soldiers;The soldiers are satisfied.
REMOVE_colony_rebellion;Colonial Rebellion
REMOVE_desc_colony_rebellion;The colony is resisting your rule.
REMOVE_retaliation_colony;Retaliation
REMOVE_desc_retaliation;You have the opportunity to retaliate against the rebels.
REMOVE_secret_organization;Secret Organization
REMOVE_desc_secret_organization;A secret organization dedicated to inciting rebellion seems to have been established in your colony.
REMOVE_rebel_meeting;Rebel Meeting
REMOVE_desc_rebel_meeting;An open gathering of rebels has made the expatriates living in the colony feel uneasy.
REMOVE_anti_propaganda;Anti-Propaganda
REMOVE_desc_anti_propaganda;You handle criticism with great ease.
REMOVE_colony_propaganda;Colonial Propaganda
REMOVE_desc_colony_propaganda;Reports from witnesses have drawn criticism from other nations about the way you manage your colony.
REMOVE_colonial_war;Colonial War
REMOVE_desc_colonial_war;A colonial war has broken out.
REMOVE_court_martial;Court Martial
REMOVE_desc_court_martial;A court martial was held.
REMOVE_prison_break;Prison Break
REMOVE_desc_prison_break;A group of prisoners has successfully broken out of prison.
REMOVE_rescue_helpless;Rescue the Helpless
REMOVE_desc_rescue_helpless;The soldiers rescued numerous refugees.
REMOVE_quench_rebels;Quell the Rebellion
REMOVE_desc_quench_rebels;More troops have been deployed to thoroughly quench the raging fire of rebellion.
REMOVE_eliminate_rebels;Eliminate the Rebels
REMOVE_desc_eliminate_rebels;You have nearly eliminated all the rebels, with only a few surviving.
REMOVE_rebel_workers;Rebel Workers
REMOVE_desc_rebel_workers;Rebel workers are complaining about low workplace safety standards.
REMOVE_rebel_slaves;Rebel Slaves
REMOVE_desc_rebel_slaves;The slaves in $PROVINCENAME$ have rebelled.
REMOVE_protest_religion;Anti-Religious Protest
REMOVE_desc_protest_religion;The indigenous people of the colony oppose the missionaries' work.
REMOVE_measles_disease;Measles
REMOVE_desc_measles_disease;Measles has caused the deaths of many residents.
local_economic_downturn;Local Economic Downturn
desc_local_economic_downturn;The province's economy has suffered a temporary setback but should recover in the coming years.
minority_building_restrictions;Minority Building Restrictions
desc_minority_building_restrictions;Our country has implemented a policy prohibiting ethnic minorities from building permanent structures, even on their own land.
dryzymalas_wagon;Dryzymala's Wagon
desc_dryzymalas_wagon;An elderly man named Dryzymala avoids the building ban by living in a wagon.
flying_university;Flying University
desc_flying_university;An underground organization provides opportunities for higher education to speakers of minority languages.
border_ruffians;Border Ruffians
desc_border_ruffians;The activities of border ruffians have led to a decline in the quality of life for residents of this province.
REMOVE_vote_right;Voting Rights
REMOVE_desc_vote_right;A solution to the issue of women's suffrage may be near at hand.
trustee_system_desc;The prison here operates under a model system, and local production benefits from it.
penal_colonies_desc;Scattered along our country's border are penal colonies where we exile our most heinous criminals.
the_statue_of_liberty_desc;As immigrants from the Old World sailed into New York Harbor, the first thing they saw was a gigantic torch symbolizing freedom and a new beginning. For many immigrants coming to our great country, this formed an indelible impression that our nation was born in freedom and tempered by it.
germania_werft_desc;With a pleasing rhythm, ships whistle and slide out of the dry docks of Kiel Harbor. Thanks to the Krupp family for bringing us this shipyard.
colonial_museum_of_natural_history_desc;The National Natural History Museum has been completed in this province.
colonial_mismanagement_desc;Due to a shortage of administrative expenditure, this colony has fallen into a severe shortage of management personnel.
colonial_recruitment_desc;A government-initiated movement attracts immigrants to this province by promising land and opportunity.
baby_bood_desc;The campaign to vigorously encourage population growth has been effective, and the province's population has increased.
loyal_askaris_desc;The residents of this province support our country's rule, and some are willing to show their support by serving in the colonial army.
