cholera_epidemic_small;霍乱爆发
desc_cholera_epidemic_small;霍乱已在本省爆发，而且还有进一步扩散的趋势。
cholera_epidemic_big;霍乱流行
desc_cholera_epidemic_big;霍乱已在本省爆发，而且还有进一步扩散的趋势。
local_opium_habit;鸦片问题
desc_local_opium_habit;本省居民吸食鸦片的问题已经愈演愈烈。
desc_leagation_quarter;本省设立了驻有外国使节的使馆区。
colonial_dry_spell;干旱期
colonial_dry_spell_desc;本省今夏几近无雨，农田深受其害。
colonial_exploitation;殖民剥削
colonial_exploitation_desc;我们正榨取着这个殖民省份的一切价值。
REMOVE_enraged_soldiers;愤怒的士兵
REMOVE_desc_enraged_soldiers;愤怒的士兵在殖民地横冲直撞。
REMOVE_unsatisfied_soldiers;不满的士兵
REMOVE_desc_unsatisfied_soldiers;士兵们很不满。
REMOVE_satisified_soldiers;心满意足的士兵们
REMOVE_desc_satisified_soldiers;士兵们心满意足。
REMOVE_colony_rebellion;殖民地叛乱
REMOVE_desc_colony_rebellion;殖民地反抗你的统治。
REMOVE_retaliation_colony;复仇
REMOVE_desc_retaliation;你获得了报复叛军的机会。
REMOVE_secret_organization;秘密结社
REMOVE_desc_secret_organization;你的殖民地中似乎成立了以煽动叛乱为宗旨的秘密结社。
REMOVE_rebel_meeting;乱党集会
REMOVE_desc_rebel_meeting;一次叛乱分子的公开集会已经使居住在殖民地的侨民陷入不安情绪中。
REMOVE_anti_propaganda;反宣传
REMOVE_desc_anti_propaganda;你应对起批评来得心应手。
REMOVE_colony_propaganda;殖民地宣传
REMOVE_desc_colony_propaganda;来自目击者的报告已经使的别的国家对你管理殖民地的方式表示出了非议。
REMOVE_colonial_war;殖民战争
REMOVE_desc_colonial_war;一场殖民战争爆发了。
REMOVE_court_martial;军法审判
REMOVE_desc_court_martial;举行了一场军法审判。
REMOVE_prison_break;越狱
REMOVE_desc_prison_break;一群犯人得以成功越狱。
REMOVE_rescue_helpless;救助难民
REMOVE_desc_rescue_helpless;士兵们救助了众多难民。
REMOVE_quench_rebels;扑灭叛乱
REMOVE_desc_quench_rebels;为了彻底扑灭叛乱的燎原烈火，已经部署了更多的军队。
REMOVE_eliminate_rebels;剿灭乱党
REMOVE_desc_eliminate_rebels;你几乎剿灭了所有叛乱分子，仅有少数得以幸存。
REMOVE_rebel_workers;反叛的工人
REMOVE_desc_rebel_workers;反叛的工人抱怨着低下的工作安全标准。
REMOVE_rebel_slaves;造反的奴隶
REMOVE_desc_rebel_slaves;$PROVINCENAME$的奴隶造反了。
REMOVE_protest_religion;反教宣言
REMOVE_desc_protest_religion;殖民地原住民反对传教士们的工作。
REMOVE_measles_disease;麻疹
REMOVE_desc_measles_disease;麻疹造成了大量居民死亡。
local_economic_downturn;本地经济衰退
desc_local_economic_downturn;本省经济遭受了暂时性的打击，但应当能在未来几年中得以恢复。
minority_building_restrictions;少数民族建房限制
desc_minority_building_restrictions;我国已经推行了一项政策，禁止少数民族建造永久性建筑，即便在他们自己的土地上也不行。
dryzymalas_wagon;著渺拉的马车
desc_dryzymalas_wagon;一位名叫著渺拉的老人以居住在马车上的方式避开了建筑禁令。
flying_university;地下大学
desc_flying_university;一个地下组织为少数族群语言的使用者提供了接受高等教育的机会。
border_ruffians;边境匪徒
desc_border_ruffians;边境匪徒的活跃导致本省居民生活质量的下滑。
REMOVE_vote_right;投票权
REMOVE_desc_vote_right;对妇女投票权问题的解决方案或许近在眼前。
trustee_system_desc;该地监狱采用模范制度，当地的产出也由此获利。
penal_colonies_desc;在我国的边界上零星散布着一些殖民地，那些地方是我们流放最穷凶极恶的罪犯之处。
the_statue_of_liberty_desc;从旧世界乘船来到新世界的移民们在驶进纽约港时，他们第一眼看到的是一个巨大的火炬，象征着自由和全新的开始。对许多前来我们伟大国家的移民来说，这形成了一个我们国家诞生于自由，并在自由中得到锤炼的不可磨灭的印象。
germania_werft_desc;以一种令人愉悦的节奏，船只们鸣着汽笛滑出基尔港的干船坞。感谢克虏伯家族带给我们的这座造船厂。
colonial_museum_of_natural_history_desc;国家自然博物馆已经在本省落成。
colonial_mismanagement_desc;由于行政支出的短缺，这个殖民地已经陷入了管理人员严重短缺的困境中。
colonial_recruitment_desc;一场由政府发起的运动通过承诺土地和机会吸引移民进入本省。
baby_bood_desc;大力鼓励增加居民人口的运动已卓有成效，本省人口增加了。
loyal_askaris_desc;本省居民支持我国的统治，其中有一些人愿意通过在殖民地军队中服役来表现他们对我们的支持。
EVTDESC100;“我们的人民对于酒精的依赖性正在不断增强，日复一日，一种紧张的气氛正在国内不断蔓延开来。在这样的形势下，我们应当行动起来，维护我们高尚的社会公德，以我国高贵而虔诚的民族品质的名义，抵制酒精的侵袭，并把这种良好的做法带给我国的底层人民，这一点至关重要。”\n\n长期以来，我国的酒精产品消费量不断增加。在这种廉价易得的蒸馏品，以及艰苦的工作条件的共同作用下，贫困阶层几乎是自然而然地接受并沉迷于这种致命的毒药之中。毫不奇怪的是$COUNTRY_ADJ$禁酒同盟应运而生。
EVTOPTA100;小酌几杯有何不可？*打嗝*
EVTOPTB100;干得好！
EVTDESC110;今天又有一家啤酒馆在这个省份开张了，这使其作为游民、赌徒乐园的名声更为远扬。平均每一百位国民就有一家沙龙或是酒馆之类为他们提供放纵恶习的场所。尽管灵魂在最为惨淡的境况下也依旧有获救的可能，但是我们同样无法忽视长期过度消费所引发的严重后果。
EVTOPTA110;干杯！
EVTOPTB110;向地方当局施压勒令其关闭。
EVTDESC120;警察今晚对一家$PROVINCENAME$酒馆发起的突然行动引发了大规模的对抗警方和其他政府部门的公众集会。当地人被警方关闭酒吧的决定所激怒，再加上抗议民众里还有不少醉汉，游行队伍几乎是横冲直撞地穿过了市区。
EVTOPTA120;这些沙龙正在带来麻烦……
EVTDESC130;由酒精成瘾而引发的贫困等一系列社会问题已经在$PROVINCENAME$和整个$STATENAME$愈演愈烈。本地的禁酒同盟成员认为这是由于$PROVINCENAME$内大量存在的酒吧以及啤酒馆在推波助澜，但是其他一些不那么偏激的人指出严峻的失业状况和艰苦的工作环境才是这些情况形成的真正原因。
EVTOPTA130;关闭这些酒吧！
EVTOPTB130;我们目前还无法采取任何措施
EVTDESC140;本地的一些禁酒同盟成员已经出动纠察了$PROVINCENAME$的一所沙龙，他们宣称这所沙龙要为其提供酒精而在$STATENAME$引起的无数起家庭破裂、婚姻破碎等家庭问题负责，这些人明确要求这家场所必须要关闭。现在，我们只有出动警力才能防止事态由他们所掌控。
EVTOPTA140;勒令沙龙关闭
EVTOPTB140;人民应该能够自由饮酒
EVTDESC150;“对一个信仰真诚而又纯洁的人来说，将生命浪费在那些让人烦恼以及无可置疑的恶习上面是毫无意义的。我们必须努力让我们自己和我们的社区变得更好。而为了做到这一点，我们必须驱除来自酒瓶内灵的恶劣影响。取而代之，抬眼看看天上的灵。”\n\n禁酒运动已经在$COUNTRY_ADJ$宗教界引起了极大的关注，而在我国某一地区召开的帐篷会议更集中表现了这一现象。
EVTOPTA150;这对禁酒大有裨益
EVTOPTB150;禁酒运动太过张扬了
EVTDESC160;在禁酒同盟坚持不懈的游说作用下，我国的一个地区已经通过了许可证制度，这种制度允许本地居民决定是否要开放本地区的酒精销售。在民众的强烈支持下，许可证法案已经禁止了大部分本地的酒精销售行为。很多本地的酒精贩售者因为无法得到许可而无法销售自己的产品，因而陷于破产境地。
EVTOPTA160;本地居民有权就自己的切身利益问题作出决定
EVTOPTB160;强行撤销法令！
EVTDESC170;“如果我们想将自己和我们的兄弟们从酒精和酗酒带来的灾难性结果中解脱出来的话，没有什么比完全彻底的戒酒更能达到这一目的了。如果我们很快就陷入了恶习的渊薮之中，那我们从资本家的压迫中挣脱出来又有什么用处呢？”\n\n自从酗酒的风气在贫困阶层中如野火一般蔓延起来之后，禁酒同盟就开始尝试与社会主义者结盟。本地的工人煽动家已经开始公开责难酗酒带来的一系列问题了。
EVTOPTA170;让他们不受干扰地做自己想做的
EVTOPTB170;必须反对这群社会主义者
EVTDESC180;“小伙子们，安静，再等一会就好。只要那个守卫转移注意力，我们就能悄悄摸过边界了。在$CAPITAL$有上千个干渴的喉咙正等着我们运过去的这些瓶子呢。”\n\n禁酒令的出现，创造了一个蕴藏着暴利的酒类走私行当。在邻国，秘密的地下酿酒厂和蒸馏厂到处都是，一支隐秘的大军日以继夜的辛勤工作，为大众提供了从稀释液到甲醇的各种违禁酒精制品。警方接到线报称有一艘满载违禁酒精品的走私船今晚将在我国港口靠岸。
EVTOPTA180;让这艘船通过
EVTOPTB180;查抄走私船
EVTDESC190;葡萄种植协会已经在我国成立，此举是为了对抗禁酒主义者近来的活动。协会致力于保护他们自称源远流长的$COUNTRY_ADJ$酒文化传统，包括与饮酒相关的一系列仪式及习俗。协会反对所有要求禁酒的主张，相对地，他们提倡负责任地饮酒。
EVTOPTA190;……我该在哪儿签字？
EVTOPTB190;饮酒，就其定义本身而言，是不负责的
EVTNAME1000;社会主义者
EVTDESC1000;卡尔·马克思发表了《共产党宣言》，这份声明使得$COUNTRY$内的工人成立了一个致力于实现这一奋斗目标的党派。他们自称为社会主义者，并坚持认为应该由工人阶级来管理这个国家，到那时将由工人自己控制生产资料。同时，平等、公正、团结和民主是社会主义思想的其他组成部分。
EVTOPTA1000;好的。
EVTNAME1001;共产主义议程
EVTDESC1001;“我们要求，不，我们需要一个自由的社会，在那个社会中没有谁是高人一等的，没人会被遗弃，也没人会受到剥削压迫或是缺吃少穿无以为生。我们需要一个没有政府的社会，一个没有阶级划分的社会，一个由工人自己来掌控生产资料的社会。”
EVTOPTA1001;好的。
EVTNAME1002;无政府主义者
REMOVE_EVTDESC1002;无政府主义者是街头斗争的好手：“与其由国家来控制执法机关，法院和国防机构，不如由自愿成立的个人机构来提供不同的法律体系作为选择。金钱应当由相互竞争的个人机构在公开市场上公开提供，而个人的经济活动应当只受到市场自然形成的规律所制约，而非受到政治策略的控制。”\n\n无政府主义者试图在我国众多的政治派别中谋取一席之地。
EVTOPTA1002;好的。
EVTNAME1003;第三条道路
EVTDESC1003;“力量来自团结！政府已经孱弱不堪，我们需要一个政党，一个能给我们以更强的民族认同的政党，一个不会被资本家甜蜜而带毒的嗓音愚弄的政党。”\n\n第三条道路，或者说如他们所称的法西斯主义者，正在觊觎上议院的席位。
EVTOPTA1003;好的。
EVTNAME1100;$PROVINCENAME$的淘金热
EVTDESC1100;一名干渴疲惫的冒险家从荒野中归来。当喝下一口威士忌之后他嘶声大喊道：“金子！我发现了金子！一整座金山！”
EVTOPTA1100;金子！
EVTNAME1105;$PROVINCENAME$的钻石热
EVTDESC1105;一名干渴疲惫的冒险家从荒野中归来。当喝下一口威士忌之后他嘶声大喊道：“钻石！我发现了钻石！一座钻石山！”
EVTOPTA1105;钻石！
EVTNAME1107;在$PROVINCENAME$发现橡胶
EVTDESC1107;一支被派去勘探$PROVINCENAME$及其周边地区的探险队收获了一些很有趣的发现。根据探险队员的陈述，这一地区大量生长着橡胶树。在不远的将来，他们的发现可能是极其有用的。
EVTOPTA1107;这迟早会派上用场的
EVTNAME1109;在$PROVINCENAME$发现油井
EVTDESC1109;一名干渴疲惫的冒险家从荒野中归来。当喝下一口威士忌之后他嘶声大喊道：“石油！我发现了石油！简直是石油的海洋！”
EVTOPTA1109;石油！
EVTNAME1139;威特沃特斯兰德淘金热
