#Powered_by_ParaTranz
LEDGER_COUNTRY_NAME;Country
LEDGER_COUNTRY_MILSCORE;Military Score
LEDGER_COUNTRY_INDSCORE;Industrial Score
LEDGER_COUNTRY_PRESTIGE;Prestige
LEDGER_COUNTRY_TOTALSCORE;Total Score
LEDGER_HEADER_PROVINCES;Provinces
LEDGER_PROVINCE_NAME;Province
LEDGER_PROVINCE_TOTALPOP;Total Population
LEDGER_PROVINCE_AVGMIL;Average Militancy
LEDGER_PROVINCE_AVGCON;Average Consciousness
LEDGER_PROVINCE_AVGLIT;Average Literacy
LEDGER_PROVINCE_RELIGION;Religion
LEDGER_PROVINCE_CULTURE;Culture
LEDGER_PROVINCE_ISSUE;Issue
LEDGER_PROVINCE_IDEOLOGY;Ideology
LEDGER_HEADER_PROVINCE_POPS;Province Pops
LEDGER_HEADER_ARMY;Army
LEDGER_ARMY_NAME;Army
LEDGER_ARMY_INFANTRY;Infantry
LEDGER_ARMY_CAVALRY;Cavalry
LEDGER_ARMY_ARTILLERY;Artillery
LEDGER_HEADER_GOODS_PRICEHISTORY;Price History
LEDGER_COUNTRY_STATUS;Status
LEDGER_HEADER_COUNTRYCOMPARE;Country Comparison
LEDGER_COUNTRY_TOTAL_POP;Total Population
LEDGER_COUNTRY_PROVCOUNT;Provinces
LEDGER_COUNTRY_FACTORYCOUNT;Factories
LEDGER_COUNTRY_LITERACY;Literacy
LEDGER_COUNTRY_LEADERSHIP;Leadership
LEDGER_COUNTRY_DIVISIONS;Infantry Brigades
LEDGER_COUNTRY_SHIPS;Naval Ships
LEDGER_HEADER_COUNTRYPARTY;Political System
LEDGER_COUNTRY_GOVERNMENT;Government
LEDGER_COUNTRY_NATIONALVALUE;National Value
LEDGER_COUNTRY_RULINGPARTY;Ruling Party
LEDGER_COUNTRY_RULINGIDEOLOGY;Ruling Party Ideology
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;Political Reforms
LEDGER_HEADER_COUNTRYSOCIALREFORMS;Social Reforms
LEDGER_HEADER_COUNTRY_POPS;Country Pops
LEDGER_HEADER_PROVINCEPRODUCTION;Province Production
LEDGER_STATE_NAME;State
LEDGER_GOODS;Goods
LEDGER_OUTPUT;Output
LEDGER_INCOME;Income
LEDGER_EMPLOYED;Employed Workers
LEDGER_LEVEL;Level
LEDGER_HEADER_FACTORYPRODUCTION;Factory Production
BUDGET;Budget
BUDGET_TAX_POOR;Poor Strata Tax
BUDGET_TAX_POOR_DESC;
BUDGET_TAX_MIDDLE;Middle Strata Tax
BUDGET_TAX_MIDDLE_DESC;
BUDGET_TAX_RICH;Rich Strata Tax
BUDGET_TAX_RICH_DESC;
BUDGET_TOTAL_FUNDS;Total Funds
BUDGET_TOTAL_DEBT;Total Debt
BUDGET_TAKE_LOAN;Take Loan
BUDGET_REPAY_LOAN;Repay Loan
BUDGET_DAILY_INCOME;Daily Income
BUDGET_DAILY_EXPENSES;Daily Expenses
BUDGET_MILITARY_COST;Military Expenses
BUDGET_NATIONAL_STOCKPILE;Stockpile Expenses
BUDGET_INDUSTRIAL_SUBSIDIES;Industrial Subsidies
BUDGET_TARIFFS;Tariffs
BUDGET_DAILY_BALANCE;Daily Projected Balance
BUDGET_GOLD_DESC;
BUDGET_MIL_COST_DESC;
BUDGET_NAT_STOCK_DESC;
BUDGET_IND_SUP_DESC;
BUDGET_EDUCATION_DESC;
BUDGET_ADMIN_DESC;
BUDGET_SOCIAL_SPEND_DESC;
BUDGET_MIL_SPEND_DESC;
BUDGET_TARIFF_DESC;
BUDGET_TOTAL_FUNDS_DESC;
BUDGET_BALANCE_DESC;
