#Powered_by_ParaTranz
AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ Fears Our Might!
AI_FEARS_US_DESC1_LONG;Our correspondents in $TAG_0_0$ have sent unconfirmed reports. Sources who wish to remain anonymous claim that several meetings involving senior military officials have been held in their capital in recent months. The main topic of these meetings was war-gaming possible declarations of war and invasion operations from our nation. They discussed countermeasures, including even guerrilla warfare tactics if necessary. Clearly, the $TAG_0_0_ADJ$ military leadership is already preparing for the worst. It seems they fear us greatly!
AI_FEARS_US_DESC1_MEDIUM;Anonymous sources from $TAG_0_0$ report that their government is preparing for the worst. They believe a declaration of war and invasion from our nation is likely, and their military high command finds our military strength daunting!
AI_FEARS_US_DESC1_SHORT;Anonymous sources from $TAG_0_0$ report that a series of military meetings have been held in the capital. It seems they believe our nation is likely to invade them!
AI_FEARS_US_TITLE2;$TAG_0_0$ Fears Our Approach!
AI_FEARS_US_DESC2_LONG;A recent article in the $TAG_0_0_ADJ$ newspaper has shocked their nation! Through an in-depth analysis of tensions between our two nations and a careful comparison of our respective military strengths, the author concludes that war between our nations will soon break out, and when that day comes, the very existence of $TAG_0_0$ will be gravely threatened. Citizens of $TAG_0_0$ from all walks of life are unanimously demanding that their government seek alliance with a Great Power to reduce the threat of our approaching forces.
AI_FEARS_US_DESC2_MEDIUM;A recent article in the $TAG_0_0_ADJ$ newspaper has shocked their nation! Through an in-depth analysis of tensions between our two nations and a careful comparison of our respective military strengths, the author concludes that without guarantees from other nations, war between our two countries will be unavoidable.
AI_FEARS_US_DESC2_SHORT;A recent article in the $TAG_0_0_ADJ$ newspaper has shocked their nation! After analyzing tensions between the two nations, the article concludes that war is inevitable.
AI_FEARS_US_TITLE3;$TAG_0_0_ADJ$ Humiliation!
AI_FEARS_US_DESC3_LONG;Prejudice and hatred dominate $TAG_0_0$. Growing hatred reached a climax on Monday. The $TAG_0_0_ADJ$ Foreign Minister humiliated our ambassador on the lawn of our embassy in $TAG_0_0$. When asked about this, our Foreign Minister said: "This fully proves that we cannot expect them to show the civility of civilized people. Savages and thugs rule $TAG_0_0$; until such vermin are eliminated, the world will not know peace." Although diplomatic relations have not yet been severed, war is likely inevitable.
AI_FEARS_US_DESC3_MEDIUM;Prejudice and hatred dominate $TAG_0_0$. On Monday, the $TAG_0_0_ADJ$ Foreign Minister humiliated our ambassador. Our Foreign Minister said: "Savages and thugs rule $TAG_0_0$; until such vermin are eliminated, the world will not know peace."
AI_FEARS_US_DESC3_SHORT;On Monday, the $TAG_0_0_ADJ$ Foreign Minister insulted our ambassador. Savages and thugs rule $TAG_0_0$; until such vermin are eliminated, the world will not know peace.
